,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dense_neurons,param_dropout,param_epochs,param_filters,param_layout,param_pooling,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,31.138302485148113,1.121553915770707,0.8093730608622233,0.04616621843980258,64,0.1,10,8,3x3,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 8, 'layout': '3x3', 'pooling': None}",0.8725967110855273,0.9134532667808364,0.8774574803247491,0.8878358193970376,0.01822264117785922,64
1,35.420468171437584,1.663947406369228,0.7993191083272299,0.054509138359751116,64,0.1,10,8,3x3,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 8, 'layout': '3x3', 'pooling': 1}",0.8992740693051481,0.918222030719345,0.9077996879316462,0.9084319293187132,0.00774838079072501,49
2,52.41041247049967,0.8697866609941812,0.8639436562856039,0.01723705351162755,64,0.1,10,8,5x5,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 8, 'layout': '5x5', 'pooling': None}",0.9413104047199733,0.9055080893376635,0.9209698033824008,0.9225960991466792,0.014661402277596713,34
3,52.97831972440084,0.608680152420775,0.8772124449412028,0.03170729316334295,64,0.1,10,8,5x5,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 8, 'layout': '5x5', 'pooling': 1}",0.9293567280340981,0.893318674984373,0.9212838671981017,0.914653090072191,0.015441518078950354,44
4,63.80280335744222,7.325386283708878,1.0481285254160564,0.034488721310323114,64,0.1,10,8,2*3x3,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 8, 'layout': '2*3x3', 'pooling': None}",0.9494598092065458,0.7719559134535523,0.9543017155306142,0.8919058127302374,0.08484041790946083,60
5,68.69559510548909,1.398903275515572,1.0355379581451416,0.06385516201711881,64,0.1,10,8,2*3x3,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 8, 'layout': '2*3x3', 'pooling': 1}",0.8871310821592379,0.8606730435196436,0.9503074865295573,0.8993705374028128,0.03760262882582348,55
6,42.04626186688741,1.7098908168475562,0.8839861551920573,0.025059719430026894,64,0.1,10,16,3x3,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 16, 'layout': '3x3', 'pooling': None}",0.9039107297541124,0.8485184047951261,0.8167053928977497,0.8563781758156628,0.036032621279699424,71
7,41.81119426091512,1.3615419032446996,0.8525594075520834,0.02781457611454026,64,0.1,10,16,3x3,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 16, 'layout': '3x3', 'pooling': 1}",0.8967643353894129,0.8338019181934051,0.8532229977506428,0.8612630837778202,0.02632551021707963,70
8,60.14308349291483,4.618282120683282,1.0442858537038167,0.028364808028647093,64,0.1,10,16,5x5,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 16, 'layout': '5x5', 'pooling': None}",0.8986695951504164,0.9366566932377164,0.9476552978776976,0.9276605287552768,0.020985677647191055,25
9,63.30737153689066,0.8989805410312984,0.9039287567138672,0.016771370920097197,64,0.1,10,16,5x5,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 16, 'layout': '5x5', 'pooling': 1}",0.8658778204051227,0.9235177015319223,0.9324719980131414,0.9072891733167289,0.02950954612602032,51
10,110.5088677406311,5.979930833609515,1.4628572463989258,0.08714089568463866,64,0.1,10,16,2*3x3,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 16, 'layout': '2*3x3', 'pooling': None}",0.9645862721725769,0.9466228181892955,0.9162461095905481,0.9424850666508068,0.019950498247077154,15
11,99.03461575508118,1.2200884042033981,1.1129785378774006,0.05220178354520573,64,0.1,10,16,2*3x3,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 16, 'layout': '2*3x3', 'pooling': 1}",0.934990642321874,0.9387827982554464,0.9329109775377753,0.9355614727050319,0.0024309058846268376,23
12,55.89517259597778,2.30793279270629,0.9987765947977701,0.025542398147543593,64,0.1,10,32,3x3,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 32, 'layout': '3x3', 'pooling': None}",0.8800446829473533,0.9354610613379621,0.9364961820442722,0.9173339754431958,0.026370897720145153,39
13,55.666304190953575,1.796146644229928,0.9577023188273112,0.016389018949737183,64,0.1,10,32,3x3,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 32, 'layout': '3x3', 'pooling': 1}",0.9106174716860406,0.9110570780681332,0.90511253816207,0.9089290293054146,0.0027046277535876305,48
14,69.52867643038432,5.313378405601932,1.1639063358306885,0.05332276921718979,64,0.1,10,32,5x5,,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 32, 'layout': '5x5', 'pooling': None}",0.9397944026420173,0.934066422217659,0.9459221039987372,0.9399276429528044,0.004840978713639178,19
15,80.5094084739685,2.8191758676591783,1.1344147523244221,0.05785500719906665,64,0.1,10,32,5x5,1,"{'dense_neurons': 64, 'dropout': 0.1, 'epochs': 10, 'filters': 32, 'layout': '5x5', 'pooling': 1}",0.935601668692721,0.9276178650468444,0.9000483122946331,0.9210892820113995,0.015231044725174267,37
