,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dense_neurons_1,param_dense_neurons_2,param_dense_neurons_3,param_dropout,param_epochs,param_filters,param_layout,param_pooling,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,27.75169333,1.234517488,0.742975314,0.114041894,256,512,1028,0.3,30,32,2*3x3,1,"{'dense_neurons_1': 256, 'dense_neurons_2': 512, 'dense_neurons_3': 1028, 'dropout': 0.3, 'epochs': 30, 'filters': 32, 'layout': '2*3x3', 'pooling': 1}",0.981887199,0.983104207,0.975003604,0.979998336,0.003566585,3
1,65.71821364,3.241242564,1.426672856,0.554949994,256,512,1028,0.3,30,64,2*3x3,1,"{'dense_neurons_1': 256, 'dense_neurons_2': 512, 'dense_neurons_3': 1028, 'dropout': 0.3, 'epochs': 30, 'filters': 64, 'layout': '2*3x3', 'pooling': 1}",0.979865214,0.981424843,0.98179299,0.981027682,0.000835617,2
2,35.16396602,5.030970991,0.837528865,0.206560912,256,512,1028,0.4,30,32,2*3x3,1,"{'dense_neurons_1': 256, 'dense_neurons_2': 512, 'dense_neurons_3': 1028, 'dropout': 0.4, 'epochs': 30, 'filters': 32, 'layout': '2*3x3', 'pooling': 1}",0.979097839,0.981514127,0.983813504,0.981475157,0.001925359,1
3,57.88979284,0.096746145,0.969805797,0.053553294,256,512,1028,0.4,30,64,2*3x3,1,"{'dense_neurons_1': 256, 'dense_neurons_2': 512, 'dense_neurons_3': 1028, 'dropout': 0.4, 'epochs': 30, 'filters': 64, 'layout': '2*3x3', 'pooling': 1}",0.97321353,0.920582237,0.972130167,0.955308645,0.024559261,4
